video_id,title,description,tags
10301c4103e9ec96d020d11ff0b04f67,МузЛофт-концерт | Хижина Музыканта & Квашеная. Лучшие музыкальные стримеры России. Песни по заявкам,"Оплата по QR-коду или в одно касание смартфоном? Скачивайте приложение СБПэй и оплачивайте покупки быстро и удобно:    Уникальный концерт, в котором встретились два самых популярных стримера. Ребята поделились планами на Новый год и спели множество «народных» хитов, чтобы у вас было подо что нарезать салаты.  00:00 В этом выпуске 01:17 «А снег идет», а мы начинаем 04:11 Стекловата – Новый год 07:09 Звенит январская вьюга из к/ф «Иван Васильевич меняет профессию» 09:04 Песенка о медведях из к/ф «Кавказская пленница» (Где-то на белом свете) 11:09 Почему нет современных новогодних хитов? 12:05 Arslan - Новогодняя 13:52 Frank Sinatra - Let it snow 14:56 Как будут встречать новый год Квашеная и Арсланов 15:56 Самый грустный новый год Стаса Ярушина 16:28 Король и Шут – Кукла колдуна (кавер) 19:36 Юрий Лоза – Веселье новогоднее 21:43 Достижения гостей в этом году 23:31 Саша Квашеная - Райская Птичка 25:50 Arslan - Беззаботное лето 27:07 История дуэтной песни 29:23 Квашеная признается в социофобии 30:25 Хижина Музыканта, Квашеная - У подъезда твоего 34:07 Составляем новогодний плейлист 34:56 Салатная песня. Импровизация 36:37 Под какую песню нужно чистить селедку 36:53 Ленинград – Рыба моей мечты 37:49 Сергей Трофимов – Город Сочи 38:08 Продолжаем подбирать песни к новогодним ситуациям 39:06 Если у вас нету тёти из к/ф «Ирония судьбы, или С лёгким паром!» 40:53 Макс Корж – Жить в кайф 42:24 «Кабы не было зимы» из м/ф «Простоквашино» 43:43 ABBA - Happy New Year 45:23 Телевизор или интернет. Где лучше? 46:19 Квашеная не прошла кастинг в шоу Голос 47:43 Переходим в формат музыкального стрима или концерт по заявкам 48:48 Саша Квашеная - Давным-давно 50:35 Arslan - Не влюбляйся 53:55 Ярушин психанул 55:08 Три белых коня из телефильма «Чародеи» 57:02 Би-2 - Мой рок-н-ролл 01:00:20 Глюк'oZa - Снег Идёт 01:01:54 Мечты подписчиков 01:03:01 Исполняем мечту Александры Харазьян 01:04:03 Beyonce - Listen 01:07:10 Новогодние поздравления от Саши Капустиной, Раиля Арсланова и Стаса Ярушина 01:09:30 Песня о снежинке из фильма «Чародеи» (Пока часы двенадцать бьют)","Музыка и аудио: Комедия и стендап (Музыка и аудио), События и достопримечательности: Концерты и музыкальные мероприятия"
20393a2f7223092a39a49c9329b1b783,"НА СВЯЗУЮЩИХ I 2 сезон, 3 серия I Роман Юнусов","На связующих - это шоу, в котором Кирилл Фокин-Сазонов совместно со звездными гостями любыми способами пытаются найти номер и дозвониться известным артистам шоу-бизнеса. Сегодня в гостях – Роман Юнусов, а звонить мы будем Сергею Звереву! По вопросам рекламы пишите на email»",Массовая культура: Юмор и сатира
80586f50ab71963113896b9b6d01a5dc,Вартанян VS Исмагулов. Грозин VS Мири. Немков VS Хусейн. Колтун VS Варяг. МЕДИАВЗВЕШИВАНИЕ,"ВАРТАНЯН VS ИСМАГУЛОВ | 6 МАРТА | САНКТ-ПЕТЕРБУРГ  Вы увидите противостояния бойцов мирового уровня, чемпионов Нашего Дела и ваших любимых героев. В карде произошли небольшие изменения.  В главном событии вечера победитель гран-при ACA, топ-10 бойцов России Эдуард Вартанян (25-4) сойдётся в клетке с топ-15 лёгкого веса UFC, экс-чемпионом M-1 Дамиром Исмагуловым (24-3).  В соглавном бою топовые тяжеловесы Хусейн Адамов и Виктор Немков решат, кому достанется пояс чемпиона ?  Бой Александр Грозина против Мири Садыгова пройдёт в весовой категории до 77 кг и будет иметь статус рейтингового;  Чемпионский бой тяжеловесов на руках: Омар Айдемиров VS Мурад Халидов;  Развязки принципиальных конфликтов: Тимурлан Пирматов VS Ярослав Кук, Фарид Ядуллаев VS Шодмон Нозакатов;  Реванш между Фёдором Колтуном и Никитой «Варягом» Ивановым;  Старт гран-при в легчайшем весе: Дамир Аминов VS Николай Присмаков;  Женский бой: Кристина Степанян VS Валерия «Зефирка» Карыгина;  Ждём вас 6 марта на трибунах КСК «АРЕНЫ» Приходите поддержать своих фаворитов!","Спорт, Массовая культура"
00475f4f136b32da5d7fc9cd41d24664,"Команда ""Водоход"" в ГрандТуре-2022: Екатеринбург","Команда ""Водоход"" приехала на легендарную Свердловскую киностудию, которая была создана в годы Великой Отечественной войны, в 1943 году, эвакуированными деятелями столичного кино и театра.  Первый фильм был создан в 1944 году. Здесь была создана четырёхсерийная киносага ""Угрюм-река"". Весной 1945 года состоялся первый набор в первую в стране Школу актерского мастерства. Всего за годы работы на Свердловской киностудии снято более 200 художественных и 500 документальных картин, а также около сотни мультипликационных работ.  Аккаунт команды в Rutube - / ………… ГрандТур «Байкальская миля 2022. Места силы» - это грандиозное автопутешествие, состоявшееся с 20 февраля по 9 марта. В этом пробеге приняли участие 14 команд, стартовавших из Санкт-Петербурга, Москвы, Казани и Владивостока и финишировавших в селе Максимиха, месте проведения Фестиваля скорости «Байкальская миля». Каждая команда получила свой уникальный маршрут и по 6 заданий, разделенных на темы: «География», «Патриотика», «Экология», «Общество», «Моя «Байкальская миля» и «Самостоятельное задание», в рамках которого участники могли рассказать своим зрителям о том, что считают нужным и важным. #baikalmile2022 #ГрандТурБайкальскаяМиля2022 #местасилы #энтузиастыскорости #гкфск #байкальскаямиля #baikalmile #водоходъ #rutube #мотовесна #finecustommechanics #fire_center #РГО #бурятиябольшечембайкал #МузейПобеды #ркспорт","Путешествия, События и достопримечательности: Исторические места и достопримечательности"
204218ca962308bfb754858b04cb0b22,Шеф I Выпуск 2 I Паста с курицей и грибами,"В этом выпуске Шеф, Павел Коклюшкин, приготовит пасту с курицей и грибами в сливочном соусе. При этом саму пасту он приготовит самостоятельно! И как всегда, бюджет блюда не превысит 470₽.",Еда и напитки: Кулинария
104cacd2d839a87364fdcdf1b736ed65,"«Пожалуйста, не рассказывай!» Наталия Медведева, Надежда Ангарская, Алексей Кривеня!","Шоу с Алексеем Кривеней, где знаменитые друзья расскажут друг про друга истории, за которые им будет стыдно!   Подписывайся на наши социальные сети: -ВК  -Телеграмм  -Инста  -Одноклассники   ХЭШТЭГИ #ШОУ #КАМЕДИКЛАБ #ПНР #КРИВЕНЯ #COMEDYWOMAN #КВН #КАМЕДИ #ЗВЕЗДЫВАФРИКЕ #КРИМИНАЛ  Благодарим группу «Дископровокация» за любезно предоставленный трек для музыкальной темы шоу. Telegram - ",Массовая культура: Юмор и сатира
b062dfff603f5b5764561fe78c1fb19a,РукоJob | Сезон 2 | Выпуск 5 | Декорируем рабочий кабинет!,В этом выпуске Алиса и Наташа берутся за преображение рабочего кабинета! Ведущие хотят создать комфортную обстановку для работы. Как справятся с этой непростой задачей наши ведущие? Узнаем в этом выпуске! По вопросам рекламы пишите на email,Дом и сад: Дизайн интерьера
205a62c1c81b8503d8335c9777203361,Артмеханика. Интервью с Дмитрием Воденниковым.,Должна ли поэзия быть модной? Можно ли считать рэп поэзией?,"Хобби и интересы, "
806e572c94adf5e4deb8041d8f094d91,ВЫПУСК №2 НЕУДОБНЫЙ СТЕНДАП,"Андрей Колмачевский, Кирилл Касумов и Настя Веневитина выступят возле вокзала, в трамвае и в салоне красоты. Кто унесёт все деньги и любовь случайных зрителей, а кто уйдёт ни с чем - смотрите в этом выпуске Неудобного Стендапа!",Массовая культура: Юмор и сатира
305a910846f9d43507d2a2147510d4d7,Иордания. Сколько стоит отдых?,"В этом выпуске Сашу Великолепного отправили отдохнуть в Иорданию Там Саша: Восхищается гостеприимству иорданцев. Окунается в реку Иордан, где крестился Иисус Христос. Пугается в отеле Аммана. Читает газету на арабском в Мёртвом море. Поднимается на гору Аарона и даже нарушает правила в Петре!  Команда проекта благодарит Таира @thair.petra за содействие  #иордания #амман #петра #ночнаяпетра #мёртвоеморе #путешествия #сколькостоитотдых",Путешествия: Направления путешествий: Азия
3066134b942a01ec8c5c86b4848c884c,Артмеханика. Интервью с Никитой NOMERZ.,Как и чем сегодня живет уличное искусство. Сколько свободы есть у современного художника с баллончиком в руках.,Хобби и интересы: Декоративно-прикладное искусство
f07a620713384d5cee4164613ec19a94,Гатчина. Молчание Сильвии,"Документальный фильм «Молчание Сильвии. Гатчина» – это история 867 дней фашистской оккупации Гатчины в годы Великой Отечественной войны. Вместе с рассказчиком Владимиром Машковым, мы пройдем весь путь от первых дней войны до победоносного финала – и узнаем невероятную историю сопротивления и стойкости, сохранения достоинства и человечности. С экрана впервые зазвучат голоса тех, чьи воспоминания остались лишь на бумаге. Слова полные боли и ужаса, но вместе с тем веры, сострадания и любви. Любви к ближнему и своей Родине. Любви, которая помогала им выжить.",Фильмы и анимация: Документальные фильмы
f07d0cf4651f31719341d33aeffa7f0e,Родное: возрождение уникального производства!,"Это растение было хорошо известно нашим прапрадедушкам и прапрабабушкам. Из его семян делали кашу, а из волокон - одежду, канаты и даже паруса. Это растение - конопля. В современной истории конопля попала под запрет, но учёные вывели безопасные сорта, которые сейчас помогают возрождать коноплеводство в России. В первом выпуске шоу “Родное” бизнес-омбудсмен Наталья Попова и комедиант Роман Юнусов изучат техническую коноплю. Как вырастить целые поля конопли? Почему вата из волокон конопли гораздо ценнее, чем вата из хлопка? Чем конопля поможет бодибилдеру и фанату здорового питания?  Ну и, наконец, насколько прибылен данный бизнес?","Дом и сад: Садоводство, Бизнес и финансы: Промышленность и сфера услуг: Сельское хозяйство"
f07efcd6306551a163b9310035527ab4,Артмеханика. Сезон 2. Выпуск 16. Трансформация татуировки.,"Артмеханика” решила выяснить, как изменилось искусство за 20 лет. Кроме того, что мы стали видеть больше творческого вокруг - есть и подводные камни. О них и поговорим с главным тату мастером всея Руси - Павлом “Ангелом” Арефьевым.",Изобразительное искусство: Современное искусство
106bd13b84f390cce9d369571604ab75,"Punch Box. 4 сезон, 7 серия. Курич Александр vs Рашидханов Хадис","Punch Box — бои в формате POP MMA где вместо ринга бойцы сражаются в красной телефонной будке! В этом выпуске, Курич Александр (Молдован) vs Рашидханов Хадис (Хаос) попробуют поместиться в нашу телефонную будку, кто же первым позвонит в травмпункт? Узнаете в этом выпуске!  По вопросам рекламы пишите на email","Спорт: Борьба, Массовая культура"
e082d4ce348a0b2b18804eabdc5c2a33,"«МузЛофт - Подкаст» с Мартиросяном, Сорокиным, Авериным, Матуа - 3 июня в 15:00!","Подписывайся, чтобы не пропустить!","Музыка и аудио: Комедия и стендап (Музыка и аудио), События и достопримечательности: Концерты и музыкальные мероприятия"
c093daa4f0e96d8f2e4736c9240898f3,Абьюз-шоу | Выпуск № 9 часть 1 | Ирина Барышева,"Героиней сегодняшнего выпуска Абьюз-шоу стала Ирина Барышева. Девушка много лет была замужем за тираном, который злоупотреблял алкоголем, бил Иру и изменял ей. Саша Кабаева и Сергей Селезнев помогут девушке вновь полюбить себя и забыть прошлое.","Семья и отношения: Брак и гражданские союзы, Массовая культура"
f08a8b29d9aded344f72b09ea85bbb13,Артмеханика. Интервью с Алексеем Мачетным.,Какими качествами должны обладать участники проекта «Танцы на ТНТ»?,Телевидение: Реалити-ТВ
3074a6f05a1b34778e063cf8300de98b,"Поверь мне, подруга I #10 I Как стать популярной в школе","Поговорим о том, как вести себя в новой школе.",Хобби и интересы
908fdc7c1846b14320528fa5f7504298,TikTok Дайджест | Выпуск 3,"Встречайте свежий выпуск с Настей Витоновой. Свежие сплетни, актуальные тренды, интересные новости - смотрите, внимайте, обожайте!",Массовая культура
706e757f5257e49bc6f8bf74e50ae955,Маленькие герои. Как юный экоактивист Матвей Анискин охраняет природу родного поселка,"Матвей Анискин — мальчик, который проявляет редкое чувство ответственности: он в одиночку борется с мусором и спасает экологию родного поселка. Независимо от погоды и усталости, Матвей не теряет мотивации и всеми силами стремится привлечь внимание других жителей к проблеме загрязнения окружающей среды. Благодаря его усилиям на улицах значительно снизилось количество мусора! Мы надеемся, что его пример вдохновит и других молодых людей заботиться о нашей планете и сохранять ее чистой и здоровой. И хотим сделать для Матвея приятный сюрприз!",Хобби и интересы
d08e259307080f66b9ae4e7137f2c24b,Отмена культуры: Выпуск #6. Оперный режиссёр слушает поп-музыку,"Вместе с экспертом Михаилом Панджавидзе разбираем эпоху музыкального фастфуда: быстрые взлеты и спады популярности артистов. «Артисты-однодневки». Артисты «одного трека», составляющие успеха артиста: талант, образ, шоу, провокация.",Музыка и аудио: Разное (Музыка и аудио)
d08fdea8b4a2cf65170edce7844b37e5,Варя в космосе | Выпуск 2 | Самые яркие события 2021,"В этом выпуске у Вари самые яркие космические события 2021 года! Запуск ""Джеймса Уэбба"" и новая эра в изучении Вселенной! Что нашли на Марсе и как он звучит? Бум космического туризма и космического кино! Разглядели не только экзопланеты, но и их луны! Проснулась чёрная дыра в центре Млечного пути... нас затянет?",Наука: Космос и астрономия
609ea8d5016f0fccf5a8fa6887911349,Тот самый мент I Выпуск 29 I Таролог,"Подписывайся на самый вкусный канал ""Максим Народный"" - /  Максим Константинович продолжает успешно вести свой канал в интернете, ему даже подписчики подарок прислали! Мент уверен, что его канал ждет успех, для этого решается привлечь женскую аудиторию, изучив карты таро, чтобы делать расклады. Удастся ли привлечь аудиторию с помощью карт? Ответ узнаете в этой серии!",Массовая культура: Юмор и сатира
8093b5a62645bb2db9476a4b2e6f1c9d,ПО РУКАМ #5,На разогреве 13-кратная чемпионка мира Ирина Гладкая и сразится с чемпионом по пощечинам Василием Камоцким. ПРО-АРМ: Валерий Чуботару и Сергей Токарев покажут битву профессионалов. ПОП-АРМ: в полуфинале сразятся Виктор Блуд и Халид AniZoro.,"Массовая культура, Спорт"
809cf37aa35541e9c82d710ae3881b4d,Малайзия. Сколько стоит отдых?,"В этом выпуске Сашу Великолепного отправили рушить стереотипы в Малайзию. Там Саша: Неприлично много ест, но находит этому оправдание. Раскрывает секрет переулка любовниц в городе Ипо. Боится встречи с крокодилами. Становится жертвой страстного танца в секретном баре Куала-Лумпура. Знакомится с Брюсом Ли и исследует пещеру Темпурунг. И очень, очень много развлекается.  За знакомство со страной спасибо Любови (@lyuba_expat) и Марии (@travelmusha) от всей команды 🙂  За приколы в конце выпуска спасибо обстоятельствам.  #малайзия #куалалумпур #путешествия #сколькостоитотдых",Путешествия: Направления путешествий: Азия
4092b7a52d60cb0f1520217bb832a1e9,Женсовет I Выпуск 5 I Соцсети: хейтеры и обнаженка I В гостях психолог Злата Потажевич,"Почему женщины часто чувствуют себя плохо при просмотре соцсетей? Почему одновременно нуждаются в реальной репрезентации, и также тщательно скрывают правду о себе и своей внешности. Как выйти из порочного круга тревожащих соцсетей? Разбираемся вместе с психологом Златой Потажевич в новом выпуске шоу «Женсовет».",Массовая культура
d0a5978d7f1eea70b455da520f290413,Пацанский клининг. Шоу «ЧистоТачка» | Мистер Винтаж | Выпуск 30,Макс и Егор впервые нужно будет привести в порядок самый старый ретро-автомобиль России.,"Транспорт, Массовая культура"
30960460cdfb61a9a3d6af807c2a012a,Такой расклад. Эфир 8. Руны. Про отношения в семье,"В этом выпуске шоу «Такой расклад» вы увидите рунолога Дарью Холикэт и ведущую Янину Студилину. Встречаемся в 20:00! Тема недели и этого выпуска – отношения в семье. В прямом эфире Дарья с помощью рун ответит на вопросы об в отношениях с близкими и дальними родственниками, о сложностях или перспективах в семье и вообще о том, как ужиться вместе. Любые вопросы, связанные с темой, приветствуются! Дорогие зрители, вопросы по теме можно задавать в чате прямо на странице трансляции. И по ссылкам: Telegram-бот  Официальная страница RUTUBE -23459697_133757 В среду 25 ноября в 20:00 отвечать на вопросы зрителей с помощью метафорических ассоциативных карт будет мак-терапевт и психолог Вероника Копейко. Включайте прямой эфир!",Религия и духовность: астрология
709b7ef8c3ff32c399401b3e3c496e35,CARJITSU. 1 серия. Блуд vs Сарычева. Джиу-джитсу в машине,"Это спортивно-развлекательное шоу про борьбу в автомобиле, которые впервые проводятся в России! Противостояние легендарного силача старой школы Виктора Блуда против рекордсмена мира по штанге жиму лёжа Кирилла Сарычева в автомобиле. Мощная борьба в автомобиле!","Массовая культура, Спорт: Борьба"
10ad72201a4eb85e058abde339189eb1,Один выходной | Выпуск 1 | На высоте!,"Москву можно посмотреть с высоты птичьего полета бесплатно или за небольшие деньги. Сегодня Ташэ расскажет вам про смотровые площадки. Какая из них самая высокая, а какая самая красивая решать вам!",Путешествия: Подготовка к путешествиям
90b401750298cb302d1e273588bc945d,"«Пожалуйста, не рассказывай!»  Роман Костомаров, Илья Авербух, Владимир Маркони","Шоу с Владимиром Маркони, где знаменитые друзья расскажут друг про друга истории, за которые им будет стыдно!   Подписывайся на наши социальные сети: -Телеграмм  -Инста  -ВК   ХЭШТЭГИ #ШОУ #ЮМОР #ЗВЕЗДЫНАЛЬДУ #ТАНЦЫНАЛЬДУ #КОСТОМАРОВ #МАРКОНИ #ФИГУРИСТЫ #ТНТ #СПОРТ #ИЛЬЯАВЕРБУХ  Таймкоды: 00:00 — начало шоу 02:00 — Владимир Маркони о «Ледниковом периоде» 02:57 — как давно дружат Илья Авербух и Роман Костомаров 03:54 — правила шоу 04:38 — первый раунд 04:42 — «джокер»? 05:45 — «Однажды в Америке» 14:56 — голые вечеринки? 16:29 — история об Илье «Американский туалет» 21:53 — второй раунд 23:30 — история об Илье «Девятка» 24:23 — достижения на Чемпионате мира среди юниоров 30:55 — как Илья с другом «бомбили» на своей машине 34:26 — «Хоккей на парковке» 41:30 — третий раунд 43:43 — Илья про пополнение в семье 45:04 — история о Романе «Латина на льду» 53:57 — история об Илье «Видеомашина» 1:01:16 — кто лучше рассказывает истории? 1:02:44 — итоги шоу",Массовая культура: Юмор и сатира
90bd4eba02436cf54969cd7224d5028d,PykoJob | Выпуск 19 | Гостиная с активным принтом,"В новом выпуске Ведущая шоу Алиса и дизайнер Наташа, попадают в новую квартиру. Добавляют яркие детали на стены, правильно выстраивая композицию и оживляя место. Так же им предстоит «отделить» рабочую зону от зоны отдыха, создав два разных настроения в одной комнате.",Дом и сад: Дизайн интерьера
309b0b6dd7d0a2aff2dafe2b394c0da8,Музлофт-Концерт с Зоей - 31 июля в 15:00!,"Подписывайся, чтобы не пропустить!","Музыка и аудио: Комедия и стендап (Музыка и аудио), События и достопримечательности: Концерты и музыкальные мероприятия"
b0b99ad0846e995280c7622350944d11,"Артмеханика. Игра ""Угадай афишу"".","Игра ""Угадай афишу"".",Массовая культура: Юмор и сатира
709ef154f73d635a13f816be1f6c7540,"Такой расклад. Эфир 20. Спецвыпуск: таро и руны! Про то, что готовит начало 2023 года","В этом выпуске шоу «Такой расклад» вы увидите таролога Ксению ProTaro и рунолога Дарью Холикэт. Встречаемся в 20:00! Специальный предновогодний эфир, последний в этом году. Один ваш вопрос - два расклада от таро и рун! Подарите себе возможность получить индивидуальные расклады, присылайте вопросы о том, что вам приготовит новый год. В праздники или в первые недели 2023-го, в любых сферах жизни.  Вопросы можно отправлять в чат трансляции и по ссылкам: Telegram-бот  Официальная страница RUTUBE -23459697_136780",Религия и духовность: астрология
d0cb9d11232e5547839b94c073feb9fc,Тру ДЕТЕКТОР I #4,"Вы смотрите шоу с детектором лжи Тру ДЕТЕКТОР! Шоу в котором Кристи Крайм и её молчаливый друг приглашают в гости известных людей и задают им неудобные вопросы под пристальным взором полиграфа.  В этом выпуске, в логово Кристи и Мистера Молчуна попала Саша Кэт и ее друзья, Саша предстала перед подписчиками с новой стороны, как она сама относится к своему контенту и подписчикам, а так же раскрыла секреты своей сексуальной идентичности. Обо всем этом вы  Узнаёте в выпуске.  Что скрывают звёзды и их ближайшее окружение? Какие вопросы они зададут друг другу? И кто окажется самым лживым в компании? Все это узнаёте в шоу Тру Детектор!",Массовая культура: Юмор и сатира
80c66d0a5100649a52099f18d204a402,Тебе не кажется | Выпуск 7 | Послеродовая депрессия,"В этом выпуске «Тебе не кажется» гостем стала учитель физкультуры и тренер Надежда, а темой встречи – её послеродовая депрессия. Психотерапевт Злата Потажевич вновь использует диалог «с внутренним ребёнком», а точнее «внутренней девочкой». Но начнёт гостья этот разговор через игру с кукольным домиком.",Медицинские направления: Психиатрия
a0c9cc64088f25405de0588ec7a4caba,ПО РУКАМ #6,"В начале выпуска посмотрим, сможет ли пацанка Настя Петрова победить блогера Влада Левского. ПРО-АРМ: Виктора Шевеленко и Байсангур Солтыханов встретятся в реванше профессионалов. ПОП-АРМ: второй полуфинал! Рекордсмен в подъеме на бицепс Андрей Качалин против фитнес-блогера Алексея Шредера.","Спорт, Массовая культура"
10cc50e22909435efe61e7bcb3869aa7,"Злые языки | Выпуск 2, Сезон 1 | Дикая  Мити Фомина","Митя Фомин - баснословные гонорары бывшего солиста HI-FI и вилла в Тоскане. Почему Фомин продает трусы Садальского, а свои носит по три дня? Зачем Митя делал массаж афроамериканцам и почему не любит нудистские пляжи? Почему Фомин пишет Билану неоднозначные послания?",Массовая культура: Скандалы знаменитостей
40c3ca718bda344a08dd059060eb3aee,BAIKAL MILE 2019,"С 15 по 17 марта 2019 года на льду озера Байкал впервые прошел фестиваль скорости «Байкальская миля». В село Максимиха Баргузинского района Бурятии приехало более 30 участников со всей России со своими мотоциклами, спорткарами, картами и багги. В ходе заездов на специально оборудованных ледяных трассах было установлено несколько уникальных рекордных показателей.  Видео студии  Script.Shot.Sound","Транспорт, Спорт: Автогонки, События и достопримечательности: Спортивные события"
